,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1200.0,6.0,125.0,6
3,1st Block Jayanagar,1875.0,2.0,235.0,3
4,1st Block Jayanagar,930.0,4.0,85.0,7
5,1st Block Jayanagar,700.0,4.0,104.0,8
6,1st Block Jayanagar,1200.0,2.0,130.0,3
7,1st Block Jayanagar,1235.0,2.0,148.0,2
8,1st Block Jayanagar,2750.0,4.0,413.0,4
9,1st Block Jayanagar,2450.0,4.0,368.0,4
10,1st Block Koramangala,1415.0,2.0,110.0,2
11,1st Block Koramangala,860.0,2.0,65.5,2
12,1st Block Koramangala,3000.0,3.0,300.0,4
13,1st Block Koramangala,2350.0,3.0,210.0,3
14,1st Block Koramangala,3000.0,5.0,500.0,4
15,1st Phase JP Nagar,2825.0,4.0,250.0,4
16,1st Phase JP Nagar,1875.0,3.0,167.0,3
17,1st Phase JP Nagar,1500.0,5.0,85.0,5
18,1st Phase JP Nagar,2065.0,4.0,210.0,3
19,1st Phase JP Nagar,2024.0,3.0,157.0,3
20,1st Phase JP Nagar,2059.0,3.0,225.0,3
21,1st Phase JP Nagar,1394.0,2.0,100.0,2
22,1st Phase JP Nagar,1077.0,2.0,93.0,2
23,1st Phase JP Nagar,1566.0,2.0,180.0,2
24,1st Phase JP Nagar,840.0,2.0,50.0,1
25,1st Phase JP Nagar,1590.0,3.0,131.0,3
26,1st Phase JP Nagar,2180.0,3.0,210.0,3
27,1st Phase JP Nagar,1180.0,2.0,88.5,2
28,1st Phase JP Nagar,1200.0,2.0,86.0,2
29,1st Phase JP Nagar,1394.0,2.0,85.0,2
30,1st Phase JP Nagar,2077.0,3.0,175.0,3
31,1st Phase JP Nagar,4550.0,2.0,240.0,4
32,1st Phase JP Nagar,1205.0,2.0,85.0,2
33,1st Phase JP Nagar,2615.0,5.0,222.0,4
34,1st Phase JP Nagar,900.0,2.0,75.0,2
35,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
36,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
37,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
38,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
39,2nd Phase Judicial Layout,900.0,2.0,41.0,2
40,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
41,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
42,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
43,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
44,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
45,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
46,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4
47,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
48,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
49,2nd Stage Nagarbhavi,600.0,3.0,95.0,4
50,2nd Stage Nagarbhavi,600.0,4.0,100.0,3
51,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
52,2nd Stage Nagarbhavi,600.0,4.0,125.0,4
53,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
54,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
55,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
56,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
57,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
58,2nd Stage Nagarbhavi,600.0,3.0,84.0,4
59,2nd Stage Nagarbhavi,600.0,3.0,82.0,4
60,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6
61,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
62,5th Block Hbr Layout,1206.0,2.0,56.0,2
63,5th Block Hbr Layout,1270.0,2.0,70.0,3
64,5th Block Hbr Layout,1200.0,6.0,220.0,5
65,5th Block Hbr Layout,1200.0,4.0,205.0,4
66,5th Block Hbr Layout,1312.0,2.0,69.0,2
67,5th Block Hbr Layout,1200.0,5.0,205.0,5
68,5th Block Hbr Layout,5100.0,5.0,300.0,6
